,nameWithOwner,sshUrl,createdAt,forkCount,primaryLanguage.name,stargazers.totalCount,releases.totalCount,releases.nodes
0,Netflix/ribbon,git@github.com:Netflix/ribbon.git,2013-01-15T01:08:04Z,987,Java,3737,40,"[{'publishedAt': '2014-07-09T19:25:08Z'}, {'publishedAt': '2014-07-09T19:28:42Z'}, {'publishedAt': '2014-07-12T03:46:50Z'}, {'publishedAt': '2014-07-24T00:09:55Z'}, {'publishedAt': '2014-07-30T17:52:19Z'}, {'publishedAt': '2014-08-25T21:37:34Z'}, {'publishedAt': '2014-08-28T15:53:17Z'}, {'publishedAt': '2014-09-19T20:43:45Z'}, {'publishedAt': '2016-10-24T18:39:55Z'}, {'publishedAt': '2016-10-25T04:29:35Z'}]"
1,androidx/androidx,git@github.com:androidx/androidx.git,2020-04-17T19:17:41Z,156,Java,2047,0,[]
2,radkovo/CSSBox,git@github.com:radkovo/CSSBox.git,2014-01-05T22:02:40Z,71,Java,168,0,[]
3,entando/entando-core,git@github.com:entando/entando-core.git,2014-08-22T14:23:11Z,35,Java,82,14,"[{'publishedAt': '2018-05-28T16:40:09Z'}, {'publishedAt': '2018-05-29T05:17:43Z'}, {'publishedAt': '2018-11-17T09:11:31Z'}, {'publishedAt': '2018-11-26T12:57:48Z'}, {'publishedAt': '2019-03-08T12:41:46Z'}, {'publishedAt': '2019-04-05T13:32:47Z'}, {'publishedAt': '2019-07-19T09:44:00Z'}, {'publishedAt': '2020-04-14T10:51:47Z'}, {'publishedAt': '2020-04-23T18:29:02Z'}, {'publishedAt': '2020-05-21T13:34:12Z'}]"
4,OpenJML/OpenJML,git@github.com:OpenJML/OpenJML.git,2015-06-30T20:40:28Z,19,Java,75,52,"[{'publishedAt': '2015-12-02T05:49:14Z'}, {'publishedAt': '2016-08-20T23:43:06Z'}, {'publishedAt': '2016-09-21T15:03:10Z'}, {'publishedAt': '2016-09-23T16:40:55Z'}, {'publishedAt': '2016-09-30T11:08:52Z'}, {'publishedAt': '2016-10-31T21:00:55Z'}, {'publishedAt': '2016-11-02T08:21:40Z'}, {'publishedAt': '2016-11-03T06:33:02Z'}, {'publishedAt': '2016-11-21T19:44:27Z'}, {'publishedAt': '2016-12-05T14:13:54Z'}]"
5,radkovo/jStyleParser,git@github.com:radkovo/jStyleParser.git,2014-01-02T21:12:24Z,48,Java,69,0,[]
6,by-syk/ColorReference,git@github.com:by-syk/ColorReference.git,2016-04-04T13:24:07Z,11,Java,44,5,"[{'publishedAt': '2016-04-13T14:10:19Z'}, {'publishedAt': '2016-04-16T08:17:21Z'}, {'publishedAt': '2016-05-20T04:48:34Z'}, {'publishedAt': '2017-01-14T07:55:43Z'}, {'publishedAt': '2017-01-14T15:42:44Z'}]"
7,Squarespace/template-compiler,git@github.com:Squarespace/template-compiler.git,2015-05-20T14:24:32Z,7,Java,32,0,[]
8,saisasanksunkavalli/RoundedHorizontalProgressBar,git@github.com:saisasanksunkavalli/RoundedHorizontalProgressBar.git,2017-02-19T14:19:30Z,10,Java,24,0,[]
9,quaap/Primary,git@github.com:quaap/Primary.git,2016-12-02T01:00:20Z,11,Java,20,6,"[{'publishedAt': '2016-12-22T20:33:01Z'}, {'publishedAt': '2017-01-04T04:54:37Z'}, {'publishedAt': '2017-01-08T03:07:58Z'}, {'publishedAt': '2017-07-13T23:11:40Z'}, {'publishedAt': '2017-10-10T20:42:34Z'}, {'publishedAt': '2018-08-21T02:18:30Z'}]"
10,nadimgouia/CoolToast,git@github.com:nadimgouia/CoolToast.git,2017-08-26T17:07:14Z,7,Java,20,0,[]
11,Thutmose/Pokecube,git@github.com:Thutmose/Pokecube.git,2015-11-26T20:06:48Z,9,Java,19,1,[{'publishedAt': '2018-07-29T17:05:39Z'}]
12,kingspp/Android-TCP-IP-Socket,git@github.com:kingspp/Android-TCP-IP-Socket.git,2015-07-10T14:29:18Z,23,Java,19,2,"[{'publishedAt': '2015-07-10T17:12:20Z'}, {'publishedAt': '2015-07-11T07:39:09Z'}]"
13,mvallim/java-fluent-validator,git@github.com:mvallim/java-fluent-validator.git,2019-08-10T02:12:08Z,3,Java,19,0,[]
14,otrosien/uuid-jpa-rest-example,git@github.com:otrosien/uuid-jpa-rest-example.git,2016-03-10T13:12:11Z,10,Java,17,0,[]
15,breakingsword/Android-Primary-Road,git@github.com:breakingsword/Android-Primary-Road.git,2016-09-12T03:44:52Z,10,Java,16,0,[]
16,codehaus/jcsp,git@github.com:codehaus/jcsp.git,2012-04-16T08:58:53Z,9,Java,10,0,[]
17,usf-cs212-2017/lectures,git@github.com:usf-cs212-2017/lectures.git,2016-12-06T04:03:13Z,5,Java,9,0,[]
18,oracle/sales-cloud-with-paas-samples,git@github.com:oracle/sales-cloud-with-paas-samples.git,2016-02-15T16:14:34Z,16,Java,8,0,[]
19,latemic/ColorBooth,git@github.com:latemic/ColorBooth.git,2011-02-24T10:27:51Z,4,Java,8,0,[]
20,SiteMorph/protostore,git@github.com:SiteMorph/protostore.git,2013-10-25T18:10:54Z,2,Java,8,0,[]
21,hornhuang/android_primary_4_animationandgestures,git@github.com:hornhuang/android_primary_4_animationandgestures.git,2019-06-14T02:41:59Z,0,Java,7,0,[]
22,hornhuang/android_primary_4_estureDetector,git@github.com:hornhuang/android_primary_4_estureDetector.git,2019-06-19T08:53:29Z,0,Java,7,0,[]
23,MinimumContent/muon,git@github.com:MinimumContent/muon.git,2016-11-20T06:09:21Z,4,Java,7,2,"[{'publishedAt': '2017-01-26T23:16:33Z'}, {'publishedAt': '2017-03-16T00:03:28Z'}]"
24,sibsankarb4/Integration-between-Oracle-ADF-and-Oracle-E-Business-Suite,git@github.com:sibsankarb4/Integration-between-Oracle-ADF-and-Oracle-E-Business-Suite.git,2019-01-17T11:07:02Z,3,Java,7,0,[]
25,jcdny/RBloomberg,git@github.com:jcdny/RBloomberg.git,2010-11-10T18:44:49Z,6,Java,6,0,[]
26,Shashi-Bhushan/trials,git@github.com:Shashi-Bhushan/trials.git,2015-12-21T07:07:59Z,1,Java,6,0,[]
27,pavex/react-native-wifi-manager,git@github.com:pavex/react-native-wifi-manager.git,2017-02-07T16:53:17Z,0,Java,6,0,[]
28,TechnoZoom/NoteMakingMVVMDataBinding,git@github.com:TechnoZoom/NoteMakingMVVMDataBinding.git,2017-06-16T23:00:40Z,0,Java,6,0,[]
29,pandyav/Primary-Flight-Display-PFD-,git@github.com:pandyav/Primary-Flight-Display-PFD-.git,2014-11-16T18:45:20Z,2,Java,5,0,[]
30,The-Hive-of-Five/Interstellar-Merchant,git@github.com:The-Hive-of-Five/Interstellar-Merchant.git,2019-01-12T23:24:46Z,0,Java,5,0,[]
31,NeedsMorePie/FFT-Analyze-Record,git@github.com:NeedsMorePie/FFT-Analyze-Record.git,2015-01-30T18:04:19Z,2,Java,5,0,[]
